NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
72,122,161,741,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,161,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,161,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,161,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,161,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,160,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,161,741,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,160,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,160,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,160,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,160,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,159,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,159,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,159,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,159,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,158,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,159,742,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,158,743,0,6,0,33.59,688.6,100.0,0.0,3170.54
69,121,158,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,158,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,158,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
69,120,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
69,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,121,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,156,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,157,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,743,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
70,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,121,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
71,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,121,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,121,155,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,155,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,155,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
72,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,121,156,744,0,6,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,156,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
73,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
74,120,156,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
75,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,157,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
76,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,159,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
77,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,159,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,158,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,120,159,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,160,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,160,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,120,159,744,0,5,0,33.59,688.6,100.0,0.0,3170.54
78,121,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,160,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,160,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,121,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,121,160,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
79,121,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,121,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,120,160,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,121,161,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,121,161,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
80,120,160,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,120,161,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,121,161,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,121,161,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,121,161,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,120,161,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,120,161,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
81,120,161,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
82,121,162,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
82,121,162,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
82,121,162,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
82,121,162,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
82,121,162,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
82,121,162,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,120,162,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,120,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,163,745,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,120,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,164,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,121,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,120,164,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,121,164,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
83,121,163,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,121,164,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,121,164,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,121,164,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
85,121,164,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
85,121,164,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
85,121,165,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
84,121,166,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
86,121,166,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
86,121,166,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
86,121,166,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
86,121,166,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
86,121,167,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
86,121,167,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,166,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,167,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,167,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,167,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,167,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,168,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,168,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,121,169,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
87,122,168,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,122,169,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,122,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,170,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,122,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,169,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,121,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,122,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,121,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
88,122,170,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,121,171,747,0,4,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,121,171,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,121,170,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,172,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,121,171,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,121,172,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,172,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,171,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,172,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
89,122,172,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,746,0,4,0,33.59,688.6,100.0,0.0,3170.54
89,122,172,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,172,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,172,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,173,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,747,0,4,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
91,122,174,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
90,122,174,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
91,123,175,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
91,122,175,746,0,5,0,33.59,688.6,100.0,0.0,3170.54
91,123,174,747,0,5,0,33.59,688.6,100.0,0.0,3170.54
