NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
56,101,118,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,101,118,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
56,101,118,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
56,101,118,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,101,118,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,100,118,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,101,117,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,100,117,738,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,100,118,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,101,116,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
55,100,117,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,117,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,116,739,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,117,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,99,116,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,116,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,116,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
53,100,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
54,100,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
53,100,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
53,100,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
53,99,115,740,0,4,0,33.59,688.6,100.0,0.0,3170.54
53,100,115,741,0,4,0,33.59,688.6,100.0,0.0,3170.54
53,100,115,741,0,3,0,33.59,688.6,100.0,0.0,3170.54
52,99,115,741,0,4,0,33.59,688.6,100.0,0.0,3170.54
